station_name;bucket_start_timestamp;co2;extT;pm10;pm25;rh;day_of_week
SMART19;2024-02-27 09:00:00;414.7358490566038;12.0;6.37037037037037;1.5;99.0;1.0
SMART19;2024-02-27 10:00:00;413.9791666666667;12.673076923076923;7.5;1.7;99.0;1.0
SMART19;2024-02-27 11:00:00;415.9814814814815;14.017543859649123;7.849056603773585;1.849056603773585;96.859649122807;1.0
SMART19;2024-02-27 12:00:00;413.52830188679246;14.73684210526316;8.351851851851851;2.4074074074074074;92.63157894736842;1.0
SMART19;2024-02-27 13:00:00;420.6326530612245;13.0;17.274509803921568;10.941176470588236;99.0;1.0
SMART19;2024-02-27 14:00:00;423.7450980392157;12.636363636363637;15.692307692307692;8.788461538461538;99.0;1.0
SMART19;2024-02-27 15:00:00;427.4375;12.0;10.06122448979592;4.020408163265306;99.0;1.0
SMART19;2024-02-27 16:00:00;427.5;11.227272727272728;14.11904761904762;7.738095238095238;99.0;1.0
SMART19;2024-02-27 17:00:00;431.7560975609756;11.0;19.28205128205128;13.128205128205128;99.0;1.0
SMART19;2024-02-27 18:00:00;426.13461538461536;11.0;14.673076923076923;9.576923076923077;99.0;1.0
SMART19;2024-02-27 19:00:00;429.4090909090909;11.0;25.73913043478261;19.782608695652176;99.0;1.0
SMART19;2024-02-27 20:00:00;418.9074074074074;10.732142857142858;11.615384615384617;5.384615384615385;99.0;1.0
SMART19;2024-02-27 21:00:00;426.1509433962264;10.142857142857144;20.0188679245283;13.433962264150944;99.0;1.0
SMART19;2024-02-27 22:00:00;427.2181818181818;9.881355932203393;22.053571428571427;16.214285714285715;99.0;1.0
SMART19;2024-02-27 23:00:00;431.8928571428572;9.101694915254235;16.859649122807017;11.052631578947368;99.0;1.0
SMART127;2024-02-27 00:00:00;403.2631578947368;15.856140350877192;4.133333333333334;0.9666666666666668;71.00175438596492;1.0
SMART127;2024-02-27 01:00:00;403.1785714285714;16.04285714285714;4.1;0.9166666666666666;71.5482142857143;1.0
SMART127;2024-02-27 02:00:00;401.0535714285714;16.30714285714286;6.305084745762712;1.0169491525423728;72.28392857142858;1.0
SMART127;2024-02-27 03:00:00;393.6666666666667;15.737254901960783;6.1454545454545455;0.9454545454545454;72.25294117647059;1.0
SMART127;2024-02-27 04:00:00;405.8545454545455;16.580000000000002;5.389830508474576;0.8305084745762712;73.10363636363637;1.0
SMART127;2024-02-27 05:00:00;404.6;16.649090909090912;6.067796610169491;0.8983050847457628;72.68909090909091;1.0
SMART127;2024-02-27 06:00:00;409.5090909090909;16.58727272727273;4.610169491525424;0.8813559322033898;73.27454545454546;1.0
SMART127;2024-02-27 07:00:00;416.54545454545456;16.656363636363636;3.694915254237288;0.847457627118644;73.85272727272728;1.0
SMART127;2024-02-27 08:00:00;417.32142857142856;16.84107142857143;4.433333333333334;0.8833333333333333;73.74642857142857;1.0
SMART127;2024-02-27 09:00:00;407.8035714285714;17.0375;8.052631578947368;1.5263157894736843;72.72500000000001;1.0
SMART127;2024-02-27 10:00:00;400.0;18.171929824561403;8.847457627118644;1.5084745762711864;68.55438596491229;1.0
SMART127;2024-02-27 11:00:00;404.5185185185185;19.496296296296297;9.035087719298245;1.631578947368421;62.88333333333334;1.0
SMART127;2024-02-27 12:00:00;400.6785714285714;20.67857142857143;9.083333333333334;1.6833333333333331;58.03571428571429;1.0
SMART127;2024-02-27 13:00:00;411.5892857142857;18.8625;14.23728813559322;4.932203389830509;65.10178571428571;1.0
SMART127;2024-02-27 14:00:00;414.8070175438597;18.32456140350877;12.576271186440678;3.3220338983050848;67.27543859649124;1.0
SMART127;2024-02-27 15:00:00;407.7857142857143;17.525000000000002;11.983333333333333;2.75;69.6875;1.0
SMART127;2024-02-27 16:00:00;405.94545454545454;17.029090909090908;12.52542372881356;3.305084745762712;71.34363636363636;1.0
SMART127;2024-02-27 17:00:00;408.4363636363637;16.98;11.892857142857142;3.2857142857142856;71.35818181818182;1.0
SMART127;2024-02-27 18:00:00;403.8103448275862;16.624137931034483;11.517241379310343;3.327586206896552;71.51551724137931;1.0
SMART127;2024-02-27 19:00:00;400.6315789473685;16.41578947368421;11.083333333333334;3.0;71.65263157894736;1.0
SMART127;2024-02-27 20:00:00;398.9642857142857;16.27857142857143;8.482758620689655;1.0172413793103448;67.86785714285715;1.0
SMART127;2024-02-27 21:00:00;410.7321428571428;16.087500000000002;11.586206896551724;3.0172413793103448;67.42142857142856;1.0
SMART127;2024-02-27 22:00:00;417.6607142857143;15.942857142857145;13.933333333333334;4.633333333333334;68.4232142857143;1.0
SMART127;2024-02-27 23:00:00;404.1607142857143;15.81964285714286;10.083333333333334;1.85;66.87857142857143;1.0
SMART362;2024-02-27 00:00:00;416.2924256747365;11.241443454104983;6.872173043446055;3.9140914169660617;93.74743237403854;1.0
